タイトル,動画URL,再生回数,チャンネル登録者数,再生回数/チャンネル登録者数,登録日付
ココミちゃんダンス教えて～！！TVでファントミダンスレッスン☆ファントミディアルでファントミダイヤに変身！himawari-CH,https://www.youtube.com/watch?v=Yx7DHRDWIV8,1220489,2250000,54,2019/07/12
ファントミラージュ変身ごっこ！TVでファントミダンスレッスンで記憶を取り戻せ！ - はねまりチャンネル,https://www.youtube.com/watch?v=QnupQtf-Lx0,1307932,2980000,43,2019/07/12
Spookiz | ダンスCula | 스푸키즈 | 面白い漫画 | キッズ漫画 | WildBrain,https://www.youtube.com/watch?v=J-CdXJFL11o,1894561,545000,347,2019/07/02
フジモン 嵐のダンス vs嵐 つなぐ Monster I seek ARASHI 復活LOVE GUTS! 台風ジェネレーション,https://www.youtube.com/watch?v=AtiQQ0YLxno,4141799,6910,59939,2019/06/21
若き日のナイナイ岡村隆史のブレイクダンスがガチで凄い,https://www.youtube.com/watch?v=3l_gmyqUflY,1628997,1740,93620,2019/06/18
【ダンスドッキリ】もしもおじいちゃんが世界大会優勝者だったら。。inニコニコ超会議（Old man dance performance in Tokyo・ラブライブ踊ってみた）,https://www.youtube.com/watch?v=h_Umci5pN6k,576208,542000,106,2019/06/16
Denki Groove - Mononoke dance | 電気グルーヴ - モノノケダンス,https://www.youtube.com/watch?v=cQTQAeTBDzo,253154,126,200915,2019/06/15
Kraraベリーダンス　③（生徒さん） ☽月の祭り,https://www.youtube.com/watch?v=PtLPjEnybxE,2373,1190,199,2019/06/11
社交ダンス　スローフォックストロット　２０１９日本インター規定フィガー,https://www.youtube.com/watch?v=5OWIEXYoW2w,160442,17500,916,2019/06/09
幻想神域 アイドル ダンス 動画  『ラブリーダンス』 Aura Kingdom,https://www.youtube.com/watch?v=SdtIXzpcPCQ,2725,724,376,2019/06/08
【踊ってみた】K-POPランダムダンスをやってみた第二弾！,https://www.youtube.com/watch?v=6zyIjHB7ElI,1710672,663000,258,2019/06/02
横浜ダンスコレクション2020　コンペティションⅠ　振付家募集,https://www.youtube.com/watch?v=3yulG-9CXg4,522,386,135,2019/05/31
Snow Man【ダンス動画】Lock on! (dance ver.),https://www.youtube.com/watch?v=QwbkhsB9_RU,5932557,1080000,549,2019/05/29
[4k 60p] 海老名高校 ダンス部 - U.S.A.,https://www.youtube.com/watch?v=Zf6WpEypJB0,1097661,14900,7366,2019/05/25
Travis Japan【ダンス動画】VOLCANO (dance ver.),https://www.youtube.com/watch?v=pN0tLzS6Lqc,1846624,1080000,170,2019/05/23
【検証】東大生なら10分でダンスの振付け丸暗記できるのか？,https://www.youtube.com/watch?v=GxO2Bs1dXOY,917992,1310000,70,2019/05/21
【公式】東京ディズニーランド キッズダンスプログラム「ジャンボリミッキー！」③お手本を見てみよう！| 東京ディズニーランド/Tokyo Disneyland,https://www.youtube.com/watch?v=lvigDaoyelI,1708446,577000,296,2019/05/13
【公式】東京ディズニーランド キッズダンスプログラム「ジャンボリミッキー！」①ディズニーの仲間たちと踊ろう！ | 東京ディズニーランド/Tokyo Disneyland,https://www.youtube.com/watch?v=pHnP5o9GeJc,13759910,577000,2384,2019/05/13
Snow Man【ダンス動画】Make It Hot (dance ver.),https://www.youtube.com/watch?v=xYKgsayz4WY,6325581,1080000,585,2019/05/08
「痩せすぎ注意ダンス」の最新版　目指すは10キロダイエット【本当に痩せるダンス】,https://www.youtube.com/watch?v=t8RHCrZICIg,1496564,75100,1992,2019/05/04
